"","X","user_name","raw_timestamp_part_1","raw_timestamp_part_2","cvtd_timestamp","new_window","num_window","roll_belt","pitch_belt","yaw_belt","total_accel_belt","kurtosis_roll_belt","kurtosis_picth_belt","kurtosis_yaw_belt","skewness_roll_belt","skewness_roll_belt.1","skewness_yaw_belt","max_roll_belt","max_picth_belt","max_yaw_belt","min_roll_belt","min_pitch_belt","min_yaw_belt","amplitude_roll_belt","amplitude_pitch_belt","amplitude_yaw_belt","var_total_accel_belt","avg_roll_belt","stddev_roll_belt","var_roll_belt","avg_pitch_belt","stddev_pitch_belt","var_pitch_belt","avg_yaw_belt","stddev_yaw_belt","var_yaw_belt","gyros_belt_x","gyros_belt_y","gyros_belt_z","accel_belt_x","accel_belt_y","accel_belt_z","magnet_belt_x","magnet_belt_y","magnet_belt_z","roll_arm","pitch_arm","yaw_arm","total_accel_arm","var_accel_arm","avg_roll_arm","stddev_roll_arm","var_roll_arm","avg_pitch_arm","stddev_pitch_arm","var_pitch_arm","avg_yaw_arm","stddev_yaw_arm","var_yaw_arm","gyros_arm_x","gyros_arm_y","gyros_arm_z","accel_arm_x","accel_arm_y","accel_arm_z","magnet_arm_x","magnet_arm_y","magnet_arm_z","kurtosis_roll_arm","kurtosis_picth_arm","kurtosis_yaw_arm","skewness_roll_arm","skewness_pitch_arm","skewness_yaw_arm","max_roll_arm","max_picth_arm","max_yaw_arm","min_roll_arm","min_pitch_arm","min_yaw_arm","amplitude_roll_arm","amplitude_pitch_arm","amplitude_yaw_arm","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","kurtosis_roll_dumbbell","kurtosis_picth_dumbbell","kurtosis_yaw_dumbbell","skewness_roll_dumbbell","skewness_pitch_dumbbell","skewness_yaw_dumbbell","max_roll_dumbbell","max_picth_dumbbell","max_yaw_dumbbell","min_roll_dumbbell","min_pitch_dumbbell","min_yaw_dumbbell","amplitude_roll_dumbbell","amplitude_pitch_dumbbell","amplitude_yaw_dumbbell","total_accel_dumbbell","var_accel_dumbbell","avg_roll_dumbbell","stddev_roll_dumbbell","var_roll_dumbbell","avg_pitch_dumbbell","stddev_pitch_dumbbell","var_pitch_dumbbell","avg_yaw_dumbbell","stddev_yaw_dumbbell","var_yaw_dumbbell","gyros_dumbbell_x","gyros_dumbbell_y","gyros_dumbbell_z","accel_dumbbell_x","accel_dumbbell_y","accel_dumbbell_z","magnet_dumbbell_x","magnet_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","kurtosis_roll_forearm","kurtosis_picth_forearm","kurtosis_yaw_forearm","skewness_roll_forearm","skewness_pitch_forearm","skewness_yaw_forearm","max_roll_forearm","max_picth_forearm","max_yaw_forearm","min_roll_forearm","min_pitch_forearm","min_yaw_forearm","amplitude_roll_forearm","amplitude_pitch_forearm","amplitude_yaw_forearm","total_accel_forearm","var_accel_forearm","avg_roll_forearm","stddev_roll_forearm","var_roll_forearm","avg_pitch_forearm","stddev_pitch_forearm","var_pitch_forearm","avg_yaw_forearm","stddev_yaw_forearm","var_yaw_forearm","gyros_forearm_x","gyros_forearm_y","gyros_forearm_z","accel_forearm_x","accel_forearm_y","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
"26",26,"carlitos",1323084233,56286,"05/12/2011 11:23","no",13,1.55,8.09,-94.4,3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0,-21,3,22,-10,601,-312,-129,20.7,-161,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.02,-0.02,-0.02,-290,108,-123,-366,346,511,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,12.80059675,-70.31304585,-85.11886321,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.02,-0.02,-233,46,-271,-563,294,-72,27,-63.7,-151,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,0,0,190,203,-216,-16,658,462,"A"
"182",182,"pedro",1323094969,960321,"05/12/2011 14:22","no",46,128,28.8,0.67,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.03,-0.44,-43,69,-185,-1,566,-408,-172,-9.22,146,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,-0.06,0.03,-218,-70,-87,-435,360,469,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-42.84574286,-1.122910524,114.2172102,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,0.06,-0.03,-1,-37,81,459,-583,-48,82.6,-0.9,106,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0,-0.02,152,240,-184,-148,746,651,"A"
"188",188,"pedro",1323094970,280368,"05/12/2011 14:22","no",47,129,28.2,1.3,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,-0.03,-0.46,-46,69,-187,7,565,-404,-173,-8.79,144,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.06,-0.03,-0.08,-217,-79,-87,-430,358,452,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-48.55030681,7.265442432,107.8937096,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,-0.19,-0.26,7,-45,85,461,-576,-46,82.2,-0.69,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0,-0.11,156,235,-198,-150,749,664,"A"
"201",201,"pedro",1323094970,636325,"05/12/2011 14:22","no",47,129,28,1.97,21,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,-0.03,-0.46,-44,68,-187,9,565,-390,-175,-7.39,143,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.11,-0.05,-0.08,-216,-75,-90,-422,362,445,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-32.23723077,17.79833095,119.9385741,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.48,-0.14,-0.11,19,-34,100,473,-561,-32,82.2,-0.39,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,-0.1,-0.02,153,229,-186,-152,757,657,"A"
"247",247,"pedro",1323094972,260392,"05/12/2011 14:22","no",49,128,27.8,1.1,20,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,-0.03,-0.46,-43,70,-183,-3,565,-397,-0.46,-4.44,-77.6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.14,-0.21,0.1,-2,-7,29,-408,324,497,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-15.57938628,23.49008857,128.7287004,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.43,-0.11,-0.25,24,-16,99,487,-553,-26,83.1,-1.07,107,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,-0.18,0.18,150,237,-194,-133,735,630,"A"
"376",376,"pedro",1323094977,668296,"05/12/2011 14:22","no",54,123,26.6,-3.09,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.03,-0.49,-38,68,-170,1,585,-375,133,-50.3,72.4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,-1.11,0.18,198,19,97,352,309,489,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.675363761,20.72622698,134.5619542,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34,-0.39,-0.25,19,-8,90,495,-561,-85,89.9,4.16,101,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,0.02,-0.03,146,233,-191,-154,747,585,"A"
"409",409,"pedro",1323094980,388347,"05/12/2011 14:23","no",56,124,26.1,-2.89,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.34,-0.03,-0.41,-37,68,-169,2,578,-383,135,-26.8,74.7,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.45,-1.03,0.21,141,35,122,152,367,534,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.307760607,32.89587727,124.0967712,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.37,-0.18,-0.38,28,-2,82,505,-531,-85,89.8,33.1,81,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.18,1.73,0.33,44,331,-149,-443,764,661,"A"
"445",445,"pedro",1323094981,540447,"05/12/2011 14:23","no",57,123,26.2,-2.29,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.45,-0.03,-0.44,-42,67,-172,4,583,-378,126,-16.8,61.8,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.73,0.64,0.36,188,33,149,347,269,517,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-16.04979352,11.74637615,137.1300114,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,-0.02,-0.25,11,-15,92,533,-515,-80,-162,78.7,-154,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51,-2.81,-0.3,-178,182,-177,-682,192,403,"A"
"470",470,"pedro",1323094982,720360,"05/12/2011 14:23","no",58,123,26.8,-4.08,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.51,-0.03,-0.52,-37,69,-169,0,581,-365,146,8.17,42.5,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,-1.43,-0.1,272,38,106,539,292,329,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-5.86939418,24.69191322,131.6712886,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,-0.1,-0.51,25,-6,99,523,-520,-53,94,44.7,82.3,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,2.65,0.56,16,350,-150,-550,708,664,"A"
"473",473,"pedro",1323094982,760363,"05/12/2011 14:23","no",58,123,26.7,-4.11,19,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.35,-0.05,-0.39,-36,71,-166,-3,581,-368,147,2.67,58.7,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.64,-1.36,0.02,197,59,141,334,360,453,"","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.04019821,22.26304342,127.5727845,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,-0.11,-0.46,21,-18,91,525,-519,-39,92,30.2,76.8,"","","","","","",NA,NA,"",NA,NA,"",NA,NA,"",34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.47,1.46,-0.05,33,299,-152,-414,775,678,"A"
